Time Step,Time,water_output
227,1981-08-16 00:00:00,2.038786324
228,1981-08-17 00:00:00,1.975727231
229,1981-08-18 00:00:00,1.971560279
230,1981-08-19 00:00:00,1.910580469
231,1981-08-20 00:00:00,1.852368615
232,1981-08-21 00:00:00,1.953264822
233,1981-08-22 00:00:00,1.872206152
234,1981-08-23 00:00:00,1.814299337
235,1981-08-24 00:00:00,1.758941837
236,1981-08-25 00:00:00,1.704538256
237,1981-08-26 00:00:00,1.652436451
238,1981-08-27 00:00:00,1.601327052
239,1981-08-28 00:00:00,1.613627213
240,1981-08-29 00:00:00,1.563718173
241,1981-08-30 00:00:00,1.515352805
242,1981-08-31 00:00:00,1.468483365
243,1981-09-01 00:00:00,1.496171795
244,1981-09-02 00:00:00,1.449895618
245,1981-09-03 00:00:00,1.405050750
246,1981-09-04 00:00:00,1.361592922
247,1981-09-05 00:00:00,1.347529768
248,1981-09-06 00:00:00,1.624227859
249,1981-09-07 00:00:00,1.530996059
250,1981-09-08 00:00:00,1.457702621
251,1981-09-09 00:00:00,1.962494122
252,1981-09-10 00:00:00,1.856739001
253,1981-09-11 00:00:00,1.859867086
254,1981-09-12 00:00:00,1.756159041
255,1981-09-13 00:00:00,1.668177709
256,1981-09-14 00:00:00,1.616581437
257,1981-09-15 00:00:00,1.566581024
258,1981-09-16 00:00:00,1.518127109
259,1981-09-17 00:00:00,1.471171860
260,1981-09-18 00:00:00,1.425668924
261,1981-09-19 00:00:00,1.381573382
262,1981-09-20 00:00:00,1.338841702
263,1981-09-21 00:00:00,1.297431701
264,1981-09-22 00:00:00,1.257302500
265,1981-09-23 00:00:00,1.218414483
266,1981-09-24 00:00:00,1.212259392
267,1981-09-25 00:00:00,1.335268376
268,1981-09-26 00:00:00,4.143296776
269,1981-09-27 00:00:00,3.932671288
270,1981-09-28 00:00:00,3.839554585
271,1981-09-29 00:00:00,3.644075840
272,1981-09-30 00:00:00,3.667048061
273,1981-10-01 00:00:00,3.480707503
274,1981-10-02 00:00:00,3.303420150
275,1981-10-03 00:00:00,3.337303715
276,1981-10-04 00:00:00,7.426229545
277,1981-10-05 00:00:00,9.614831791
278,1981-10-06 00:00:00,8.405823325
279,1981-10-07 00:00:00,7.022935218
280,1981-10-08 00:00:00,8.258839731
281,1981-10-09 00:00:00,8.222469691
282,1981-10-10 00:00:00,8.392777795
283,1981-10-11 00:00:00,19.221294534
284,1981-10-12 00:00:00,27.055906222
285,1981-10-13 00:00:00,22.945117332
286,1981-10-14 00:00:00,19.444641252
287,1981-10-15 00:00:00,16.464295849
288,1981-10-16 00:00:00,13.927211464
289,1981-10-17 00:00:00,11.767866165
290,1981-10-18 00:00:00,10.637680457
291,1981-10-19 00:00:00,9.586241498
292,1981-10-20 00:00:00,8.758123779
293,1981-10-21 00:00:00,7.929020868
294,1981-10-22 00:00:00,6.844214863
295,1981-10-23 00:00:00,5.850550131
296,1981-10-24 00:00:00,5.409514537
297,1981-10-25 00:00:00,5.155632422
298,1981-10-26 00:00:00,4.982692009
299,1981-10-27 00:00:00,4.974932276
300,1981-10-28 00:00:00,5.050131636
301,1981-10-29 00:00:00,6.830093752
302,1981-10-30 00:00:00,5.753000009
303,1981-10-31 00:00:00,5.347665273
304,1981-11-01 00:00:00,5.098514964
305,1981-11-02 00:00:00,5.095287290
306,1981-11-03 00:00:00,5.051528695
307,1981-11-04 00:00:00,5.005823310
308,1981-11-05 00:00:00,4.925785832
309,1981-11-06 00:00:00,4.864156637
310,1981-11-07 00:00:00,4.788403311
311,1981-11-08 00:00:00,4.603182279
312,1981-11-09 00:00:00,4.429595625
313,1981-11-10 00:00:00,4.279037092
314,1981-11-11 00:00:00,4.154100690
315,1981-11-12 00:00:00,4.038524998
316,1981-11-13 00:00:00,4.100829255
317,1981-11-14 00:00:00,4.417830460
318,1981-11-15 00:00:00,5.570786837
319,1981-11-16 00:00:00,6.217289896
320,1981-11-17 00:00:00,7.147188837
321,1981-11-18 00:00:00,12.372207606
322,1981-11-19 00:00:00,10.509459224
323,1981-11-20 00:00:00,8.922753738
324,1981-11-21 00:00:00,7.571317749
325,1981-11-22 00:00:00,6.420396243
326,1981-11-23 00:00:00,5.730884170
327,1981-11-24 00:00:00,5.468506089
328,1981-11-25 00:00:00,5.218083595
329,1981-11-26 00:00:00,4.979073652
330,1981-11-27 00:00:00,4.750957833
331,1981-11-28 00:00:00,4.533241215
332,1981-11-29 00:00:00,4.325451305
333,1981-11-30 00:00:00,4.127137032
334,1981-12-01 00:00:00,3.937867773
335,1981-12-02 00:00:00,3.757232432
336,1981-12-03 00:00:00,3.584838550
337,1981-12-04 00:00:00,3.420311467
338,1981-12-05 00:00:00,3.263293513
339,1981-12-06 00:00:00,3.113443240
340,1981-12-07 00:00:00,3.050905176
341,1981-12-08 00:00:00,2.976636646
342,1981-12-09 00:00:00,2.946521689
343,1981-12-10 00:00:00,2.986792494
344,1981-12-11 00:00:00,2.923567179
345,1981-12-12 00:00:00,2.806284788
346,1981-12-13 00:00:00,2.719487182
347,1981-12-14 00:00:00,2.635374200
348,1981-12-15 00:00:00,2.553862810
349,1981-12-16 00:00:00,2.474872545
350,1981-12-17 00:00:00,2.398325426
351,1981-12-18 00:00:00,2.324145889
352,1981-12-19 00:00:00,2.252260704
353,1981-12-20 00:00:00,7.409922520
354,1981-12-21 00:00:00,15.440979651
355,1981-12-22 00:00:00,13.081224850
356,1981-12-23 00:00:00,11.072225269
357,1981-12-24 00:00:00,9.362139331
358,1981-12-25 00:00:00,7.906778584
359,1981-12-26 00:00:00,6.668478185
360,1981-12-27 00:00:00,5.615134079
361,1981-12-28 00:00:00,5.311142775
362,1981-12-29 00:00:00,5.063628581
363,1981-12-30 00:00:00,4.827525359
364,1981-12-31 00:00:00,4.602310747
365,1982-01-01 00:00:00,4.387486182
366,1982-01-02 00:00:00,4.182575820
367,1982-01-03 00:00:00,3.987125506
368,1982-01-04 00:00:00,3.800701785
369,1982-01-05 00:00:00,3.622890963
370,1982-01-06 00:00:00,3.453298211
371,1982-01-07 00:00:00,3.291546705
372,1982-01-08 00:00:00,3.137276811
373,1982-01-09 00:00:00,2.990145298
374,1982-01-10 00:00:00,2.849824600
375,1982-01-11 00:00:00,2.716002098
376,1982-01-12 00:00:00,2.605794306
377,1982-01-13 00:00:00,2.525197814
378,1982-01-14 00:00:00,2.447094149
379,1982-01-15 00:00:00,2.371406208
380,1982-01-16 00:00:00,2.298059275
381,1982-01-17 00:00:00,2.226980942
382,1982-01-18 00:00:00,2.158101041
383,1982-01-19 00:00:00,2.091351577
384,1982-01-20 00:00:00,2.026666655
385,1982-01-21 00:00:00,1.963982420
386,1982-01-22 00:00:00,1.903236991
387,1982-01-23 00:00:00,1.844370401
388,1982-01-24 00:00:00,1.787324538
389,1982-01-25 00:00:00,1.732043088
390,1982-01-26 00:00:00,1.678471477
391,1982-01-27 00:00:00,1.626556822
392,1982-01-28 00:00:00,1.576247872
393,1982-01-29 00:00:00,1.527494965
394,1982-01-30 00:00:00,1.480249971
395,1982-01-31 00:00:00,1.434466252
396,1982-02-01 00:00:00,1.390098610
397,1982-02-02 00:00:00,1.347103247
398,1982-02-03 00:00:00,1.305437719
399,1982-02-04 00:00:00,1.265060894
400,1982-02-05 00:00:00,1.225932913
401,1982-02-06 00:00:00,1.188015149
402,1982-02-07 00:00:00,1.151270171
403,1982-02-08 00:00:00,1.115661706
404,1982-02-09 00:00:00,1.081154600
405,1982-02-10 00:00:00,1.047714789
406,1982-02-11 00:00:00,1.015309262
407,1982-02-12 00:00:00,0.983906030
408,1982-02-13 00:00:00,0.953474090
409,1982-02-14 00:00:00,0.923983402
410,1982-02-15 00:00:00,0.895404853
411,1982-02-16 00:00:00,2.457356921
412,1982-02-17 00:00:00,2.317679841
413,1982-02-18 00:00:00,2.185195455
414,1982-02-19 00:00:00,2.059551703
415,1982-02-20 00:00:00,1.940413260
416,1982-02-21 00:00:00,2.094855266
417,1982-02-22 00:00:00,3.723931608
418,1982-02-23 00:00:00,3.532064099
419,1982-02-24 00:00:00,3.349590714
420,1982-02-25 00:00:00,3.176064813
421,1982-02-26 00:00:00,3.011060609
422,1982-02-27 00:00:00,2.854172211
423,1982-02-28 00:00:00,2.705012703
424,1982-03-01 00:00:00,2.767727727
425,1982-03-02 00:00:00,6.079514765
426,1982-03-03 00:00:00,5.029675238
427,1982-03-04 00:00:00,4.667623968
428,1982-03-05 00:00:00,4.439616246
429,1982-03-06 00:00:00,4.222434095
430,1982-03-07 00:00:00,4.015572449
431,1982-03-08 00:00:00,3.818549544
432,1982-03-09 00:00:00,3.630905852
433,1982-03-10 00:00:00,3.721601920
434,1982-03-11 00:00:00,3.635955668
435,1982-03-12 00:00:00,3.457932267
436,1982-03-13 00:00:00,3.288372986
437,1982-03-14 00:00:00,3.126882586
438,1982-03-15 00:00:00,2.973084075
439,1982-03-16 00:00:00,2.826617869
440,1982-03-17 00:00:00,2.687140996
441,1982-03-18 00:00:00,2.554326334
442,1982-03-19 00:00:00,2.427861882
443,1982-03-20 00:00:00,2.307450070
444,1982-03-21 00:00:00,2.217487821
445,1982-03-22 00:00:00,2.148901540
446,1982-03-23 00:00:00,2.082436614
447,1982-03-24 00:00:00,2.018027429
448,1982-03-25 00:00:00,1.955610403
449,1982-03-26 00:00:00,2.727129830
450,1982-03-27 00:00:00,2.589855759
451,1982-03-28 00:00:00,3.041768565
452,1982-03-29 00:00:00,12.774591362
453,1982-03-30 00:00:00,10.782754558
454,1982-03-31 00:00:00,9.088167345
455,1982-04-01 00:00:00,7.646859978
456,1982-04-02 00:00:00,6.421354873
457,1982-04-03 00:00:00,5.379708409
458,1982-04-04 00:00:00,5.103988535
459,1982-04-05 00:00:00,4.862991072
460,1982-04-06 00:00:00,4.633198080
461,1982-04-07 00:00:00,4.414093806
462,1982-04-08 00:00:00,4.205186085
463,1982-04-09 00:00:00,4.006005258
464,1982-04-10 00:00:00,3.816103159
465,1982-04-11 00:00:00,3.635052126
466,1982-04-12 00:00:00,30.189297270
467,1982-04-13 00:00:00,26.101146842
468,1982-04-14 00:00:00,30.722957138
469,1982-04-15 00:00:00,27.242572495
470,1982-04-16 00:00:00,23.159667779
471,1982-04-17 00:00:00,19.681246253
472,1982-04-18 00:00:00,16.778460719
473,1982-04-19 00:00:00,14.245458336
